"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-0.13926912865681,-19.6718563947121
1.01,-0.141851855155299,-19.598667193483
1.02,-0.144458608642927,-19.5261467720868
1.03,-0.147089166523021,-19.4542791109923
1.04,-0.149743304276434,-19.38304853412
1.05,-0.152420795939303,-19.312439678313
1.06,-0.155121414597649,-19.2424374637508
1.07,-0.157844932898758,-19.1730270652834
1.08,-0.160591123579284,-19.1041938846701
1.09,-0.163359760009975,-19.0359235237041
1.1,-0.166150616757027,-18.9682017582092
1.11,-0.168963470160029,-18.9010145128939
1.12,-0.171798098926512,-18.8343478370509
1.13,-0.174654284743155,-18.7681878810904
1.14,-0.177531812903747,-18.7025208738964
1.15,-0.180430472953957,-18.6373331009954
1.16,-0.183350059353178,-18.5726108835283
1.17,-0.186290372153509,-18.5083405580162
1.18,-0.189251217696295,-18.4445084569099
1.19,-0.192232409326386,-18.3811008899154
1.2,-0.195233768124587,-18.3181041260842
1.21,-0.19825512365868,-18.2555043766604
1.22,-0.20129631475355,-18.1932877786737
1.23,-0.204357190280964,-18.1314403792678
1.24,-0.207437609969688,-18.0699481207533
1.25,-0.21053744523665,-18.0087968263741
1.26,-0.213656580040025,-17.9479721867731
1.27,-0.216794911755106,-17.8874597471458
1.28,-0.219952352074067,-17.8272448950663
1.29,-0.223128827930685,-17.7673128489716
1.3,-0.226324282451331,-17.7076486472865
1.31,-0.229538675933587,-17.6482371381744
1.32,-0.232771986854008,-17.5890629698936
1.33,-0.2360242129067,-17.5301105817409
1.34,-0.239295372074472,-17.4713641955623
1.35,-0.242585503734604,-17.4128078078088
1.36,-0.245894669801305,-17.3544251821158
1.37,-0.24922295590722,-17.2961998423815
1.38,-0.252570472626434,-17.2381150663206
1.39,-0.255937356741819,-17.180153879467
1.4,-0.259323772559542,-17.1222990495995
1.41,-0.262729913273954,-17.0645330815633
1.42,-0.266156002386354,-17.006838212457
1.43,-0.269602295181207,-16.9491964071585
1.44,-0.273069080263955,-16.8915893541577
1.45,-0.276556681164595,-16.8339984616653
1.46,-0.280065458011762,-16.7764048539669
1.47,-0.283595809282253,-16.7187893679893
1.48,-0.287148173631409,-16.6611325500465
1.49,-0.290723031810151,-16.6034146527314
1.5,-0.294320908674904,-16.5456156319196
1.51,-0.297942375297173,-16.4877151438505
1.52,-0.301588051179969,-16.4296925422505
1.53,-0.305258606588968,-16.3715268754645
1.54,-0.308954765006768,-16.3131968835568
1.55,-0.312677305719376,-16.2546809953495
1.56,-0.316427066544689,-16.1959573253581
1.57,-0.320204946713552,-16.1370036705917
1.58,-0.324011909914832,-16.0777975071772
1.59,-0.327848987516797,-16.0183159867739
1.6,-0.331717281978149,-15.9585359327392
1.61,-0.335617970463122,-15.8984338360089
1.62,-0.339552308676195,-15.8379858506548
1.63,-0.343521634933307,-15.7771677890813
1.64,-0.347527374487882,-15.7159551168237
1.65,-0.351571044131396,-15.6543229469091
1.66,-0.355654257090016,-15.5922460337431
1.67,-0.359778728240635,-15.5296987664816
1.68,-0.363946279671564,-15.4666551618503
1.69,-0.368158846615511,-15.4030888563717
1.7,-0.372418483784665,-15.3389730979598
1.71,-0.376727372140605,-15.2742807368415
1.72,-0.381087826134471,-15.2089842157659
1.73,-0.38550230145618,-15.1430555594565
1.74,-0.389973403334939,-15.0764663632672
1.75,-0.394503895437192,-15.0091877809965
1.76,-0.399096709412597,-14.941190511818
1.77,-0.403754955143112,-14.8724447862799
1.78,-0.408481931755828,-14.8029203513288
1.79,-0.413281139465787,-14.7325864543106
1.8,-0.418156292321558,-14.6614118258988
1.81,-0.423111331933558,-14.5893646619011
1.82,-0.428150442272928,-14.5164126038922
1.83,-0.433278065637637,-14.4425227186206
1.84,-0.438498919892451,-14.367661476134
1.85,-0.443818017100071,-14.291794726567
1.86,-0.449240683673257,-14.2148876755335
1.87,-0.454772582191113,-14.1369048580631
1.88,-0.460419735038088,-14.0578101110207
1.89,-0.466188550041282,-13.9775665439446
1.9,-0.472085848300602,-13.8961365082391
1.91,-0.478118894427923,-13.8134815646537
1.92,-0.484295429435249,-13.7295624489807
1.93,-0.490623706539139,-13.6443390359018
1.94,-0.497112530178899,-13.5577703009133
1.95,-0.503771298580483,-13.4698142802575
1.96,-0.510610050236891,-13.3804280287908
1.97,-0.517639514719568,-13.2895675757159
1.98,-0.524871168284893,-13.1971878781117
1.99,-0.532317294796433,-13.1032427721907
2,-0.539991052547039,-13.0076849222256
2.01,-0.547906547638144,-12.9104657670835
2.02,-0.556078914655834,-12.8115354643219
2.03,-0.564524405478062,-12.7108428318043
2.04,-0.573260487155211,-12.608335286809
2.05,-0.582305949929645,-12.5039587826222
2.06,-0.591681026601477,-12.3976577426248
2.07,-0.601407524610411,-12.2893749919094
2.08,-0.611508972390626,-12.1790516864994
2.09,-0.622010781771066,-12.0666272402779
2.1,-0.632940428442402,-11.9520392497886
2.11,-0.644327652800008,-11.8352234171283
2.12,-0.656204683805526,-11.7161134712298
2.13,-0.668606488897359,-11.5946410879216
2.14,-0.681571053430694,-11.4707358092651
2.15,-0.695139693653565,-11.3443249628058
2.16,-0.709357407838777,-11.2153335815385
2.17,-0.724273270910655,-11.0836843255897
2.18,-0.739940878748267,-10.9492974068602
2.19,-0.75641884933858,-10.8120905181697
2.2,-0.773771389121227,-10.6719787687997
2.21,-0.792068934247019,-10.5288746287656
2.22,-0.811388878106386,-10.3826878846742
2.23,-0.83181639842405,-10.2333256106579
2.24,-0.853445399523949,-10.0806921586502
2.25,-0.876379588121782,-9.92468917319923
2.26,-0.900733704295066,-9.765215637154
2.27,-0.926634933228173,-9.6021679559284
2.28,-0.954224528076558,-9.43544008972028
2.29,-0.983659680016259,-9.26492374508415
2.3,-1.01511567846262,-9.0905086397125
2.31,-1.04878841282884,-8.91208285725916
2.32,-1.08489727739423,-8.72953331264954
2.33,-1.12368855328984,-8.54274635270122
2.34,-1.16543935682721,-8.35160852217844
2.35,-1.21046226207301,-8.15600753181456
2.36,-1.25911072857153,-7.9558334725726
2.37,-1.31178549353597,-7.75098032972689
2.38,-1.36894212307346,-7.54134786151953
2.39,-1.4310999608825,-7.32684392048146
2.4,-1.4988527677063,-7.10738731132861
2.41,-1.57288141368706,-6.88291129795508
2.42,-1.65396907265732,-6.6533678936917
2.43,-1.74301947764915,-6.41873309379048
2.44,-1.84107893766765,-6.17901323688024
2.45,-1.94936299683385,-5.93425271232017
2.46,-2.06928885192158,-5.68454326162102
2.47,-2.20251495229457,-5.43003515192467
2.48,-2.35098961510139,-5.17095052369583
2.49,-2.51701103958037,-4.9075992264849
2.5,-2.70330186041011,-4.64039744542288
2.51,-2.91310243992273,-4.36988937160718
2.52,-3.15028862192267,-4.09677205991693
2.53,-3.41952192000593,-3.82192341858043
2.54,-3.72644354105176,-3.546432948449
2.55,-4.0779290386006,-3.27163435246795
2.56,-4.48242916942145,-2.99913842272406
2.57,-4.95043731197697,-2.73086365124709
2.58,-5.49514959373352,-2.46906080408263
2.59,-6.13343050989853,-2.2163263192562
2.6,-6.8872844566135,-1.97559802820685
2.61,-7.78620533043838,-1.75012570994328
2.62,-8.87112841182849,-1.54340890212243
2.63,-10.201463462014,-1.35909587756159
2.64,-11.8683460149244,-1.20084136814892
2.65,-14.0205527258522,-1.07212673830955
2.66,-16.9096038581936,-0.976054373188903
2.67,-20.8372221927674,-0.915136498965969
2.68,-24.079972719258,-0.891105001737813
2.69,-21.1688677841292,-0.90477034502004
2.7,-17.142795921881,-0.955952676911351
2.71,-14.1599778246282,-1.04349704367518
2.72,-11.9412786228021,-1.16537004290831
2.73,-10.2253551837063,-1.31882144117863
2.74,-8.85727028666094,-1.50058510166852
2.75,-7.74252963425276,-1.70709097155157
2.76,-6.8197651496345,-1.93466340451136
2.77,-6.04678294819364,-2.17968851381106
2.78,-5.3932012606255,-2.43874181086365
2.79,-4.83634124808151,-2.7086748761199
