"Freq [GHz]","dB(St(gnd_T1,gnd_T1)) []","dB(St(gnd_T2,gnd_T1)) []"
1,-0.300361210269197,-13.9547554098016
1.005,-0.306368618963035,-13.8550866312215
1.01,-0.312483719994347,-13.7561100799969
1.015,-0.318707486037101,-13.6578217154419
1.02,-0.32504088286094,-13.5602172857999
1.025,-0.331484868828314,-13.4632923410151
1.03,-0.338040394341176,-13.3670422455243
1.035,-0.344708401239184,-13.2714621909886
1.04,-0.351489822151937,-13.1765472088852
1.045,-0.358385579808969,-13.0822921828789
1.05,-0.365396586312134,-12.9886918608945
1.055,-0.372523742376167,-12.8957408668114
1.06,-0.379767936544136,-12.8034337117039
1.065,-0.387130044385971,-12.7117648045536
1.07,-0.394610927689071,-12.6207284623597
1.075,-0.402211433651448,-12.5303189195791
1.08,-0.409932394089132,-12.4405303368281
1.085,-0.41777462467054,-12.3513568087832
1.09,-0.425738924192201,-12.2627923712197
1.095,-0.433826073911073,-12.1748310071334
1.1,-0.442036836950401,-12.087466651892
1.105,-0.450371957796884,-12.0006931973687
1.11,-0.458832161908669,-11.9145044950152
1.115,-0.467418155454471,-11.8288943578355
1.12,-0.476130625205664,-11.7438565612268
1.125,-0.484970238604235,-11.6593848426582
1.13,-0.49393764403054,-11.5754729001667
1.135,-0.503033471296042,-11.4921143896497
1.14,-0.51225833238719,-11.4093029209435
1.145,-0.521612822487394,-11.3270320526807
1.15,-0.531097521305087,-11.2452952859255
1.155,-0.540712994736681,-11.1640860565909
1.16,-0.550459796893667,-11.0833977266493
1.165,-0.560338472524015,-11.0032235741511
1.17,-0.570349559858322,-10.9235567820737
1.175,-0.580493593911558,-10.8443904260283
1.18,-0.590771110271651,-10.7657174608558
1.185,-0.601182649406169,-10.6875307061527
1.19,-0.611728761518467,-10.6098228307663
1.195,-0.622410011984576,-10.5325863363122
1.2,-0.633226987401962,-10.4558135397638
1.205,-0.644180302280961,-10.3794965551743
1.21,-0.65527060640934,-10.3036272745921
1.215,-0.666498592919904,-10.2281973482384
1.22,-0.677865007090632,-10.1531981640156
1.225,-0.68937065590618,-10.0786208264222
1.23,-0.701016418408821,-10.0044561349509
1.235,-0.712803256866596,-9.93069456205142
1.24,-0.724732228785284,-9.85732623073943
1.245,-0.736804499790815,-9.78434089193786
1.25,-0.749021357407699,-9.71172790163632
1.255,-0.761384225758931,-9.63947619795685
1.26,-0.773894681212549,-9.56757427821431
1.265,-0.786554468999874,-9.49601017606021
1.27,-0.799365520830585,-9.42477143879853
1.275,-0.812329973530701,-9.35384510496147
1.28,-0.82545018872954,-9.28321768223181
1.285,-0.83872877362379,-9.2128751257969
1.29,-0.852168602848129,-9.14280281721785
1.295,-0.865772841483909,-9.07298554389389
1.3,-0.879544969240466,-9.00340747920039
1.305,-0.893488805847147,-8.93405216337476
1.31,-0.907608537697927,-8.86490248522141
1.315,-0.921908745795942,-8.79594066470309
1.32,-0.936394435050861,-8.72714823648199
1.325,-0.951071064988913,-8.65850603446935
1.33,-0.965944581943285,-8.58999417743879
1.335,-0.981021452801513,-8.52159205575347
1.34,-0.996308700396746,-8.45327831925335
1.345,-1.01181394064142,-8.38503086634454
1.35,-1.0275454215145,-8.31682683432869
1.355,-1.04351206402823,-8.2486425910068
1.36,-1.05972350531624,-8.18045372758851
1.365,-1.07619014400305,-8.11223505293509
1.37,-1.09292318803439,-8.0439605891625
1.375,-1.10993470516993,-7.97560356862913
1.38,-1.12723767636462,-7.90713643233247
1.385,-1.14484605229051,-7.83853082973972
1.39,-1.16277481328111,-7.76975762007832
1.395,-1.18104003301243,-7.70078687511623
1.4,-1.1996589462703,-7.63158788346556
1.405,-1.21865002119278,-7.56212915644966
1.41,-1.23803303641945,-7.4923784355818
1.415,-1.25782916362729,-7.42230270171399
1.42,-1.27806105598473,-7.35186818592672
1.425,-1.2987529431139,-7.28104038224629
1.43,-1.31993073321466,-7.2097840622946
1.435,-1.34162212307556,-7.13806329199829
1.44,-1.36385671677543,-7.06584145051005
1.445,-1.38666615396677,-6.99308125152512
1.45,-1.41008424873036,-6.91974476721168
1.455,-1.43414714009954,-6.84579345501498
1.46,-1.45889345547447,-6.771188187643
1.465,-1.48436448828519,-6.6958892865969
1.47,-1.51060439141522,-6.61985655967448
1.475,-1.53766038807343,-6.54304934294889
1.48,-1.56558300199923,-6.46542654781211
1.485,-1.59442630910908,-6.38694671377265
1.49,-1.62424821295047,-6.30756806781395
1.495,-1.65511074661943,-6.22724859125526
1.5,-1.68708040413477,-6.14594609521415
1.505,-1.72022850464773,-6.06361830595357
1.51,-1.75463159331259,-5.98022296160921
1.515,-1.79037188316378,-5.89571792204237
1.52,-1.82753774294865,-5.81006129385238
1.525,-1.86622423657666,-5.72321157291998
1.53,-1.90653372067837,-5.63512780724471
1.535,-1.9485765077566,-5.54576978329275
1.54,-1.99247160358352,-5.45509823959488
1.545,-2.03834752889623,-5.36307511193497
1.55,-2.08634323711728,-5.26966381515118
1.555,-2.13660914183971,-5.17482956733935
1.56,-2.18930827023934,-5.07853976309524
1.565,-2.2446175615065,-4.98076440334643
1.57,-2.30272933292953,-4.88147659027919
1.575,-2.3638529405412,-4.78065309680752
1.58,-2.4282166664084,-4.67827502088218
1.585,-2.4960698708606,-4.5743285355717
1.59,-2.56768545539804,-4.46880574608212
1.595,-2.64336269086389,-4.36170566446537
1.6,-2.72343047586293,-4.25303531135644
1.605,-2.80825110247378,-4.14281095124151
1.61,-2.89822462003917,-4.03105946297162
1.615,-2.99379390312799,-3.91781983991726
1.62,-3.09545054632927,-3.80314480374765
1.625,-3.20374172585774,-3.68710250190598
1.63,-3.31927818532318,-3.56977824141003
1.635,-3.4427435197025,-3.45127619130311
1.64,-3.57490494712998,-3.33172096467888
1.645,-3.71662577315779,-3.21125897199738
1.65,-3.86887976932789,-3.09005942549496
1.655,-4.03276771372615,-2.9683148766667
1.66,-4.20953638804812,-2.84624119261954
1.665,-4.40060041413845,-2.72407692863157
1.67,-4.60756747319389,-2.60208213406611
1.675,-4.8322677221406,-2.48053672596375
1.68,-5.07678864731971,-2.35973864914224
1.685,-5.34351720903774,-2.2400020558607
1.69,-5.635191925904,-2.12165558801774
1.695,-5.95496841873991,-2.00504039002576
1.7,-6.30650254861049,-1.89050652085951
1.705,-6.69405484916445,-1.77840470117314
1.71,-7.12261686766963,-1.66906755758929
1.715,-7.59805184635086,-1.56277090884296
1.72,-8.12722820913836,-1.45966376172927
1.725,-8.71811909338032,-1.35966624203757
1.73,-9.37991550653774,-1.26238619429322
1.735,-10.1235327947332,-1.16723110964941
1.74,-10.9635708382448,-1.07399638838262
1.745,-11.9229425309733,-0.983852633467232
1.75,-13.0393930006778,-0.899699175858269
1.755,-14.3717152831779,-0.824987185330687
1.76,-16.0089105264435,-0.762149369998892
1.765,-18.0942878675849,-0.712228530344725
1.77,-20.8847585032777,-0.675463872533103
1.775,-24.8543087418917,-0.651878188645056
1.78,-29.7646933092721,-0.641532549933043
1.785,-27.7905738538053,-0.644558623402313
1.79,-22.8545733792444,-0.661112109195749
1.795,-19.3394225064112,-0.691317521711213
1.8,-16.7751548838878,-0.73522588535379
1.805,-14.7881886602284,-0.792787911251428
1.81,-13.1811843804889,-0.863840126106548
1.815,-11.8426257215912,-0.948100922609807
1.82,-10.7042061648365,-1.04517403447194
1.825,-9.7211949695768,-1.15455747949775
1.83,-8.8626802033315,-1.27565638289998
1.835,-8.10634251722702,-1.40779833302175
1.84,-7.4354720313492,-1.55025010102565
1.845,-6.83717363518742,-1.70223472105119
1.85,-6.30123905735583,-1.86294809861856
1.855,-5.81941141941786,-2.03157449544998
1.86,-5.38489030038108,-2.20730042132064
1.865,-4.99198926662183,-2.38932663745463
1.87,-4.63589288507042,-2.5768781314009
1.875,-4.31248029104604,-2.76921205316389
1.88,-4.01819427559401,-2.96562370311185
1.885,-3.74994213597973,-3.16545073367828
1.89,-3.50501910946108,-3.36807577151605
1.895,-3.28104815496165,-3.57292768859097
1.9,-3.07593177931265,-3.77948175450084
1.905,-2.88781289384306,-3.98725889289063
1.91,-2.71504255971744,-4.19582424660602
1.915,-2.55615307866123,-4.40478523287603
1.92,-2.4098353006082,-4.61378924424551
1.925,-2.27491931072072,-4.82252112532013
1.93,-2.15035786445084,-5.03070053108431
1.935,-2.03521208714036,-5.23807925049302
1.94,-1.92863906190769,-5.44443855967383
1.945,-1.82988100838266,-5.64958665254282
1.95,-1.73825581357373,-5.85335618286716
1.955,-1.65314872055618,-6.05560194058814
1.96,-1.57400501476467,-6.2561986762768
1.965,-1.50032357426627,-6.45503908062066
1.97,-1.43165117145476,-6.65203192053258
1.975,-1.36757743054307,-6.84710032953846
1.98,-1.30773035903774,-7.04018024728613
1.985,-1.25177238277762,-7.23121900109172
1.99,-1.19939682363528,-7.42017402121379
1.995,-1.15032476700023,-7.60701168085458
2,-1.10430227297893,-7.79170625160405
2.005,-1.06109789107809,-7.97423896505515
2.01,-1.02050044315508,-8.15459717154627
2.015,-0.982317043755031,-8.33277358736204
2.02,-0.946371330716109,-8.50876562219322
2.025,-0.912501882196374,-8.68257477918426
2.03,-0.880560799129965,-8.85420612045113
2.035,-0.850412434613932,-9.02366779151242
2.04,-0.8219322539094,-9.19097059862816
2.045,-0.795005810653719,-9.35612763357111
2.05,-0.769527826557789,-9.5191539408594
2.055,-0.745401363336687,-9.68006622295244
2.06,-0.722537076916558,-9.83888257935053
2.065,-0.700852545100433,-9.99562227594428
2.07,-0.680271660877927,-10.1503055413311
2.075,-0.660724084447764,-10.3029533871545
2.08,-0.642144747800332,-10.4535874498292
2.085,-0.624473406394799,-10.6022298512945
2.09,-0.607654233071267,-10.7489030766881
2.095,-0.591635449874245,-10.8936298670584
2.1,-0.576368993937144,-11.0364331254385
2.105,-0.561810213996044,-11.1773358347843
2.11,-0.547917594471686,-11.3163609864431
2.115,-0.534652504387101,-11.4535315179669
2.12,-0.521978968679112,-11.5888702592099
2.125,-0.509863459720186,-11.7223998857711
2.13,-0.498274707096395,-11.8541428789433
2.135,-0.48718352389086,-11.9841214914229
2.14,-0.476562647902948,-12.112357718117
2.145,-0.466386596395091,-12.2388732714588
